asset_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,lat_lon,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,asset_name,asset_type,st_astext
136113485,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2,0,0,tonnes_gas_per_coal_extracted,1.5,coal_mine_depth,0.752,1.128,tonnes_coal_extracted,2022-10-10 23:24:31.547148,,Xialiyuan Coal Mine,Bituminous,POINT(112.3867735 39.5938345)
136113512,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,24,tonnes_coal_extracted,2022-10-10 23:24:31.562804,,Haerwusu Surface Mine,Lignite,POINT(111.258324 39.731044)
136113485,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,ch4,18561,16455.2,tonnes_gas_per_coal_extracted,1.5,coal_mine_depth,0.752,1.128,tonnes_coal_extracted,2022-10-10 23:24:31.547185,,Xialiyuan Coal Mine,Bituminous,POINT(112.3867735 39.5938345)
136113485,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,n2o,0,0,tonnes_gas_per_coal_extracted,1.5,coal_mine_depth,0.752,1.128,tonnes_coal_extracted,2022-10-10 23:24:31.547203,,Xialiyuan Coal Mine,Bituminous,POINT(112.3867735 39.5938345)
136113485,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_100yr,553131.67,0,tonnes_gas_per_coal_extracted,1.5,coal_mine_depth,0.752,1.128,tonnes_coal_extracted,2022-10-10 23:24:31.547225,,Xialiyuan Coal Mine,Bituminous,POINT(112.3867735 39.5938345)
136113512,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,ch4,19296,804,tonnes_gas_per_coal_extracted,,coal_mine_depth,,24,tonnes_coal_extracted,2022-10-10 23:24:31.562821,,Haerwusu Surface Mine,Lignite,POINT(111.258324 39.731044)
136113485,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_20yr,1531320.91,0,tonnes_gas_per_coal_extracted,1.5,coal_mine_depth,0.752,1.128,tonnes_coal_extracted,2022-10-10 23:24:31.547242,,Xialiyuan Coal Mine,Bituminous,POINT(112.3867735 39.5938345)
136113512,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,n2o,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,24,tonnes_coal_extracted,2022-10-10 23:24:31.562832,,Haerwusu Surface Mine,Lignite,POINT(111.258324 39.731044)
136113486,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2,0,0,tonnes_gas_per_coal_extracted,0.9,coal_mine_depth,0.752,0.6768,tonnes_coal_extracted,2022-10-10 23:24:31.547955,,Zhengshan Coal Mine,Bituminous,POINT(111.610587 37.0113615)
136113512,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_100yr,575020.8,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,24,tonnes_coal_extracted,2022-10-10 23:24:31.562846,,Haerwusu Surface Mine,Lignite,POINT(111.258324 39.731044)
136113486,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,ch4,9396,13882.4,tonnes_gas_per_coal_extracted,0.9,coal_mine_depth,0.752,0.6768,tonnes_coal_extracted,2022-10-10 23:24:31.547975,,Zhengshan Coal Mine,Bituminous,POINT(111.610587 37.0113615)
136113512,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_20yr,1591920,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,24,tonnes_coal_extracted,2022-10-10 23:24:31.562858,,Haerwusu Surface Mine,Lignite,POINT(111.258324 39.731044)
136113486,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,n2o,0,0,tonnes_gas_per_coal_extracted,0.9,coal_mine_depth,0.752,0.6768,tonnes_coal_extracted,2022-10-10 23:24:31.547992,,Zhengshan Coal Mine,Bituminous,POINT(111.610587 37.0113615)
136113513,BGR,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,23.935,tonnes_coal_extracted,2022-10-10 23:24:31.563279,,Maritsa Coal Mines,Lignite,POINT(26.037577 42.167)
136113486,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_100yr,279989.13,0,tonnes_gas_per_coal_extracted,0.9,coal_mine_depth,0.752,0.6768,tonnes_coal_extracted,2022-10-10 23:24:31.54802,,Zhengshan Coal Mine,Bituminous,POINT(111.610587 37.0113615)
136113513,BGR,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,ch4,24055,1005,tonnes_gas_per_coal_extracted,,coal_mine_depth,,23.935,tonnes_coal_extracted,2022-10-10 23:24:31.563291,,Maritsa Coal Mines,Lignite,POINT(26.037577 42.167)
136113486,CHN,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_20yr,775137.69,0,tonnes_gas_per_coal_extracted,0.9,coal_mine_depth,0.752,0.6768,tonnes_coal_extracted,2022-10-10 23:24:31.548036,,Zhengshan Coal Mine,Bituminous,POINT(111.610587 37.0113615)
136113513,BGR,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,n2o,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,23.935,tonnes_coal_extracted,2022-10-10 23:24:31.563303,,Maritsa Coal Mines,Lignite,POINT(26.037577 42.167)
136113487,USA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,1.025118711,tonnes_coal_extracted,2022-10-10 23:24:31.549144,,No. 4 Mine,Bituminous,POINT(-84.8191555 35.318222)
136113513,BGR,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_100yr,716829.32,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,23.935,tonnes_coal_extracted,2022-10-10 23:24:31.563321,,Maritsa Coal Mines,Lignite,POINT(26.037577 42.167)
136113487,USA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,ch4,13297,12971.2,tonnes_gas_per_coal_extracted,,coal_mine_depth,,1.025118711,tonnes_coal_extracted,2022-10-10 23:24:31.549176,,No. 4 Mine,Bituminous,POINT(-84.8191555 35.318222)
136113513,BGR,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2e_20yr,1984510.69,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,23.935,tonnes_coal_extracted,2022-10-10 23:24:31.563332,,Maritsa Coal Mines,Lignite,POINT(26.037577 42.167)
136113487,USA,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,n2o,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,1.025118711,tonnes_coal_extracted,2022-10-10 23:24:31.54919,,No. 4 Mine,Bituminous,POINT(-84.8191555 35.318222)
136113514,COL,coal-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,,co2,0,0,tonnes_gas_per_coal_extracted,,coal_mine_depth,,23.4,tonnes_coal_extracted,2022-10-10 23:24:31.563754,,Cerrejón Coal Mine,Bituminous,POINT(-72.662926 11.033968)
