asset_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,created_date,modified_date,asset_name,asset_type,st_astext
985525014,BRA,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2e_20yr,8365737.293,,,2022-10-20 08:17:59.054398,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2,1733720.451,0.018363126,,2022-10-20 08:17:59.054616,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,ch4,70220.83932,0.000743761,,2022-10-20 08:17:59.054623,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,n2o,,,,2022-10-20 08:17:59.05463,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_100yr,3826301.463,,,2022-10-20 08:17:59.054638,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_20yr,7942415.437,,,2022-10-20 08:17:59.054643,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,1651246.069,0.018453058,,2022-10-20 08:17:59.054848,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,66570.7991,0.000743944,,2022-10-20 08:17:59.054856,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,,2022-10-20 08:17:59.054863,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,3635055.882,,,2022-10-20 08:17:59.05487,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525014,BRA,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,7540377.807,,,2022-10-20 08:17:59.054876,,Iracema,Oil,POINT(-42.8345 -25.260199999999998)
985525311,IDN,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2,2351811.124,0.04867067,,2022-10-20 08:17:59.514111,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
985525311,IDN,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,ch4,67718.36668,0.00140143,,2022-10-20 08:17:59.514117,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
985525311,IDN,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,n2o,,,,2022-10-20 08:17:59.514124,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
985525311,IDN,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2e_100yr,4369818.451,,,2022-10-20 08:17:59.514132,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
985525311,IDN,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2e_20yr,8516342.499,,,2022-10-20 08:17:59.514137,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
5110260,KWT,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,ch4,320190.7005,0.000533086,tonnes_gas_per_product_produced,2022-09-15 13:05:14.063349,,Greater Burgan,Oil,POINT(47.9333 28.9167)
985525311,IDN,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2,2065292.823,0.051543188,,2022-10-20 08:17:59.514338,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
985525311,IDN,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,ch4,56245.56232,0.001403712,,2022-10-20 08:17:59.514344,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
985525311,IDN,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,n2o,,,,2022-10-20 08:17:59.514353,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
985525311,IDN,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2e_100yr,3741410.58,,,2022-10-20 08:17:59.51436,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
985525311,IDN,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2e_20yr,7221248.597,,,2022-10-20 08:17:59.514365,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
985525311,IDN,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2,1642205.859,0.051266915,,2022-10-20 08:17:59.514571,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
985525311,IDN,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,ch4,44436.69975,0.001387239,,2022-10-20 08:17:59.514578,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
985525311,IDN,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,n2o,,,,2022-10-20 08:17:59.51461,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
985525311,IDN,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2e_100yr,2966419.511,,,2022-10-20 08:17:59.514618,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
985525311,IDN,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2e_20yr,5722438.325,,,2022-10-20 08:17:59.514624,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
985525311,IDN,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2,1187646.742,0.051354287,,2022-10-20 08:17:59.514844,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
985525311,IDN,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,ch4,31922.47405,0.00138034,,2022-10-20 08:17:59.51485,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
5110260,KWT,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,n2o,,,tonnes_gas_per_product_produced,2022-09-15 13:05:14.063349,,Greater Burgan,Oil,POINT(47.9333 28.9167)
985525311,IDN,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,n2o,,,,2022-10-20 08:17:59.514858,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
5110260,KWT,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2e_100yr,21975987.54,,tonnes_gas_per_product_produced,2022-09-15 13:05:14.063349,,Greater Burgan,Oil,POINT(47.9333 28.9167)
985525311,IDN,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2e_100yr,2138936.469,,,2022-10-20 08:17:59.514865,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
5110260,KWT,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2e_20yr,41084923.44,,tonnes_gas_per_product_produced,2022-09-15 13:05:14.063349,,Greater Burgan,Oil,POINT(47.9333 28.9167)
985525311,IDN,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2e_20yr,4144607.803,,,2022-10-20 08:17:59.51487,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
5110260,KWT,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2,11653025.7,0.020671745,tonnes_gas_per_product_produced,2022-09-15 13:05:14.063349,,Greater Burgan,Oil,POINT(47.9333 28.9167)
985525311,IDN,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2,982690.898,0.051459269,,2022-10-20 08:17:59.515072,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
5110260,KWT,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,ch4,300476.7339,0.000533027,tonnes_gas_per_product_produced,2022-09-15 13:05:14.063349,,Greater Burgan,Oil,POINT(47.9333 28.9167)
985525311,IDN,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,ch4,26343.86576,0.001379514,,2022-10-20 08:17:59.515078,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
5110260,KWT,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,n2o,,,tonnes_gas_per_product_produced,2022-09-15 13:05:14.063349,,Greater Burgan,Oil,POINT(47.9333 28.9167)
985525311,IDN,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,n2o,,,,2022-10-20 08:17:59.515087,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
5110260,KWT,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2e_100yr,20607232.37,,tonnes_gas_per_product_produced,2022-09-15 13:05:14.063349,,Greater Burgan,Oil,POINT(47.9333 28.9167)
985525311,IDN,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2e_100yr,1767738.098,,,2022-10-20 08:17:59.515094,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
5110260,KWT,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2e_20yr,38534702.76,,tonnes_gas_per_product_produced,2022-09-15 13:05:14.063349,,Greater Burgan,Oil,POINT(47.9333 28.9167)
985525311,IDN,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2e_20yr,3434808.96,,,2022-10-20 08:17:59.5151,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
5110260,KWT,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2,11366044.11,0.020756952,tonnes_gas_per_product_produced,2022-09-15 13:05:14.063349,,Greater Burgan,Oil,POINT(47.9333 28.9167)
985525311,IDN,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2,797408.6328,0.051252911,,2022-10-20 08:17:59.515303,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
5110260,KWT,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,ch4,290926.8874,0.000531298,tonnes_gas_per_product_produced,2022-09-15 13:05:14.063349,,Greater Burgan,Oil,POINT(47.9333 28.9167)
985525311,IDN,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,ch4,21327.45018,0.001370808,,2022-10-20 08:17:59.515309,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
5110260,KWT,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,n2o,,,tonnes_gas_per_product_produced,2022-09-15 13:05:14.063349,,Greater Burgan,Oil,POINT(47.9333 28.9167)
985525311,IDN,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,n2o,,,,2022-10-20 08:17:59.515316,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
5110260,KWT,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2e_100yr,20035665.36,,tonnes_gas_per_product_produced,2022-09-15 13:05:14.063349,,Greater Burgan,Oil,POINT(47.9333 28.9167)
985525311,IDN,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_100yr,1432966.648,,,2022-10-20 08:17:59.515324,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
5110260,KWT,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2e_20yr,37412514.98,,tonnes_gas_per_product_produced,2022-09-15 13:05:14.063349,,Greater Burgan,Oil,POINT(47.9333 28.9167)
985525311,IDN,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_20yr,2774646.004,,,2022-10-20 08:17:59.515332,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
5110260,KWT,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2,10721736.56,0.020853762,tonnes_gas_per_product_produced,2022-09-15 13:05:14.063349,,Greater Burgan,Oil,POINT(47.9333 28.9167)
985525311,IDN,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,670161.1297,0.052210359,,2022-10-20 08:17:59.515543,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
5110260,KWT,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,ch4,272206.1663,0.000529441,tonnes_gas_per_product_produced,2022-09-15 13:05:14.063349,,Greater Burgan,Oil,POINT(47.9333 28.9167)
985525311,IDN,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,17286.81922,0.001346767,,2022-10-20 08:17:59.51555,,Tunu-ID,Gas,POINT(117.5876 -0.5471)
